a2600_robinheq,罗宾汉 (PAL) (Quelle)
a2600_rocnrope,凤凰猎人
a2600_rocnropee,凤凰猎人 (PAL)
a2600_rpatrol,河岸巡逻
a2600_rsboxing,真实体育-拳击
a2600_rsboxinge,真实体育-拳击 (PAL)
a2600_rushhour,尖峰时刻 (原型版)
a2600_rushhour1,"尖峰时刻 (原型版, 替换版)"
a2600_rushhour2,"尖峰时刻 (原型版, 替换版 2)"
a2600_rushhour3,"尖峰时刻 (原型版, 替换版 3)"
a2600_rushhour4,"尖峰时刻 (原型版, 替换版 4)"
a2600_rushhour5,"尖峰时刻 (原型版, 替换版 5)"
a2600_sbrkout,超级打砖王
a2600_sbrkout1,超级打砖王 (替换版)
a2600_sbrkoute,超级打砖王 (PAL)
a2600_scobra,超级眼镜蛇
a2600_scobrae,超级眼镜蛇 (PAL)
a2600_seabattl,大海战
a2600_seahawk,海鹰 (PAL)
a2600_seaquest,海底探险
a2600_seaquestc,海底探险 (CCE)
a2600_seaquestc1,"海底探险 (CCE, 替换版)"
a2600_seaquestd,海底探险 (Dinatronic)
a2600_seaquestdv,海底探险 (Digivision)
a2600_seaquestdy,海底探险 (Dynacom)
a2600_secretag,间谍末日 (原型版)
a2600_sharkatt,鲨鱼攻击
a2600_sharkatte,鲨鱼攻击 (PAL)
a2600_sinistar,星风血雨 (原型版 19840213)
a2600_sinistar1,星风血雨 (原型版 19840123)
a2600_sinistar2,星风血雨 (原型版 19840104)
a2600_sinistar3,星风血雨 (原型版 1984xxxx)
a2600_sirlance,兰斯洛特
a2600_sirlancee,兰斯洛特 (PAL)
a2600_skihunt,滑雪狩猎 (PAL)
a2600_skiingm,滑雪 (Milmar)
